date,year,change_points,sigma_level,direction,close
2025-04-09,2025,474.1299999999992,7.098683142679122,UP,5456.9
2020-03-16,2020,-324.8899999999999,5.319576495627007,DOWN,2386.13
2025-04-04,2025,-322.4400000000005,4.82757765280717,DOWN,5074.08
2020-03-12,2020,-260.74000000000024,4.269218429221544,DOWN,2480.64
2017-05-17,2017,-43.63999999999987,4.256106008149262,DOWN,2357.03
2024-12-18,2024,-178.44999999999982,4.113896423114038,DOWN,5872.16
2025-04-03,2025,-274.4499999999998,4.109070483851026,DOWN,5396.52
2018-12-26,2018,116.59999999999991,4.055117663089372,UP,2467.7
2018-02-05,2018,-113.19000000000005,3.936524599357518,DOWN,2648.94
2019-08-05,2019,-87.3100000000004,3.917190832942468,DOWN,2844.74
2019-08-14,2019,-85.72000000000025,3.8458549788091605,DOWN,2840.6
2020-03-13,2020,230.3800000000001,3.7721198961573172,UP,2711.02
2019-01-04,2019,84.05000000000018,3.770929899310659,UP,2531.94
2017-08-17,2017,-38.09999999999991,3.7158029081229826,DOWN,2430.01
2020-03-09,2020,-225.80999999999995,3.6972931406861846,DOWN,2746.56
2024-08-05,2024,-160.23000000000047,3.6938617196725403,DOWN,5186.33
2018-02-08,2018,-100.65999999999985,3.5007559516858997,DOWN,2581.0
2017-08-10,2017,-35.809999999999945,3.4924646230940715,DOWN,2438.21
2020-03-24,2020,209.92999999999984,3.4372824455261073,UP,2447.33
2019-08-23,2019,-75.83999999999969,3.402585646207241,DOWN,2847.11
2024-11-06,2024,146.27999999999975,3.3722654456325074,UP,5929.04
2022-11-10,2022,207.79999999999973,3.3629206408635306,UP,3956.37
2018-10-10,2018,-94.66000000000031,3.292087804357131,DOWN,2785.68
2017-03-01,2017,32.320000000000164,3.1520931756046116,UP,2395.96
2026-01-20,2026,-143.15000000000055,3.143767401713902,DOWN,6796.86
2018-12-04,2018,-90.30999999999995,3.14080339754375,DOWN,2700.06
2019-05-13,2019,-69.5300000000002,3.119485495527309,DOWN,2811.87
2020-06-11,2020,-188.03999999999996,3.0788671988602374,DOWN,3002.1
2021-11-26,2021,-106.84000000000015,3.0683777260321086,DOWN,4594.62
