,daily_change_points,daily_change_points,daily_change_points,daily_change_pct,daily_range,daily_range
,count,std,mean,std,mean,std
year,,,,,,
2026,20,45.4,4.68,0.66,69.29,0.45
2025,250,66.79,3.86,1.18,62.17,4.62
2024,252,43.38,4.41,0.8,54.28,3.68
2023,250,34.62,3.72,0.82,42.84,2.3
2022,251,61.79,-3.69,1.52,40.99,2.92
2021,252,34.82,4.01,0.83,42.73,2.87
2020,253,61.07,2.08,2.17,32.18,3.19
2019,252,22.29,2.87,0.79,29.13,1.51
2018,251,28.75,-0.66,1.07,27.46,1.0
2017,251,10.25,1.73,0.42,24.49,1.09
2016,34,10.2,2.1,0.46,22.25,0.35
